Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit_div_Quantity,Discount_apply_Sales,During Date,Ship latitude,Ship longitude
22,CA-2016-137330,2016.12.9,2016.12.13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.0596,0.7228,19.46,4,41.43435954,-96.4939635
24,US-2017-156909,2017.7.16,2017.7.18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,-0.5098,49.9604,2,39.9527237,-75.1635262
25,CA-2015-106320,2015.9.25,2015.9.30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649,80.0883,1044.63,5,40.2971825,-111.694943
26,CA-2016-121755,2016.1.16,2016.1.20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,2.1112,9.3184,4,34.07678019,-118.4704901
35,CA-2017-107727,2017.10.19,2017.10.23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,3.3156,23.5776,4,29.7835518,-95.64102056
36,CA-2016-117590,2016.12.8,2016.12.10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,17.6391,878.0352,2,32.9481789,-96.7297206
38,CA-2015-117415,2015.12.27,2015.12.31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,3.935,90.6624,4,29.7589382,-95.3676974
42,CA-2017-120999,2017.9.10,2017.9.15,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,4.1391,117.7344,5,41.7555862,-88.1994379
44,CA-2017-139619,2017.9.19,2017.9.23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,4.7808,76.4928,4,28.0836269,-80.6081089
45,CA-2016-118255,2016.3.11,2016.3.13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714,9.8857,45.98,2,44.818173,-93.1659179
47,CA-2014-146703,2014.10.20,2014.10.25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784,2.1196,211.96,5,42.33380922,-83.36924844
48,CA-2016-169194,2016.6.20,2016.6.25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation_8gb Micro Traveldrive Usb 2.0_Flash Drive,45,3,0,4.95,1.65,45,5,39.158168,-75.5243682
50,CA-2015-115742,2015.4.18,2015.4.22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634,2.9939,38.22,4,38.2951306,-85.7967312
54,CA-2016-105816,2016.12.11,2016.12.17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566,0.8938,15.26,6,40.78626531,-73.97561021
56,CA-2016-111682,2016.6.17,2016.6.18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14,8.69,208.56,1,42.7284117,-73.6917878
63,CA-2015-135545,2015.11.24,2015.11.30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512,3.0756,13.98,6,34.0536909,-118.2427666
67,US-2015-164175,2015.4.30,2015.5.5,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,-3.0445,149.1805,5,41.90397416,-87.63710106
68,CA-2014-106376,2014.12.5,2014.12.10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,13.9128,890.4192,5,33.3668239,-111.7547776
70,CA-2016-119823,2016.6.4,2016.6.6,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636,17.8318,75.88,2,38.7890522,-77.1870368
71,CA-2016-106075,2016.9.18,2016.9.23,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,1.731,3.6928,5,40.72512035,-73.97632109
72,CA-2017-114440,2017.9.14,2017.9.17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763,2.921,19.05,3,42.2465036,-84.4016963
73,US-2015-134026,2015.4.26,2015.5.2,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,-14.2989,665.5488,6,35.1490215,-90.0516285
79,US-2014-147606,2014.11.26,2014.12.1,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,-2.895,7.72,5,29.9639368,-95.5603656
80,CA-2016-127208,2016.6.12,2016.6.15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032,56.2032,208.16,3,34.6240205,-87.05791873
82,CA-2014-139451,2014.10.12,2014.10.16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172,0.8344,14.9,4,37.7792808,-122.4192363
84,CA-2015-149734,2015.9.3,2015.9.8,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,8.9725,160.7872,5,35.996653,-78.9018053
85,US-2017-119662,2017.11.13,2017.11.16,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,-16.3183,184.3008,3,41.85177842,-87.71456814
86,CA-2017-140088,2017.5.28,2017.5.30,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156,16.6078,301.96,2,34.0007493,-81.0343313
87,CA-2017-155558,2017.10.26,2017.11.2,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech_LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966,6.7966,19.99,7,44.0604753,-92.4951633
93,CA-2015-149587,2015.1.31,2015.2.5,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.2208,3.1104,12.96,5,44.9772995,-93.2654692
96,US-2017-109484,2017.11.6,2017.11.12,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788,-3.788,1.7046,6,45.5202471,-122.6741949
99,CA-2016-149223,2016.9.6,2016.9.11,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.5852,3.7642,77.88,5,44.9504037,-93.1015026
104,US-2015-156867,2015.11.13,2015.11.17,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758,-4.4793,191.1168,4,39.66779276,-104.7779808
107,CA-2017-119004,2017.11.23,2017.11.28,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016,2.2002,59.2896,5,35.2270869,-80.8431268
110,CA-2015-129476,2015.10.15,2015.10.20,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central,TEC-AC-10000844,Technology,Accessories,Logitech_Gaming G510s - Keyboard,339.96,5,0.2,67.992,13.5984,271.968,5,41.6308328,-87.8126477
111,CA-2017-146780,2017.12.25,2017.12.30,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0,10.9096,5.4548,41.96,5,40.7238838,-73.9911486
112,CA-2016-128867,2016.11.3,2016.11.10,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,22.788,11.394,75.96,7,41.6274552,-93.7380624
114,CA-2014-115259,2014.8.25,2014.8.27,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348,1.0382,32.0768,2,39.9622601,-83.0007065
119,US-2015-136476,2015.4.5,2015.4.10,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156,-115.7156,47.3382,5,36.5945034,-82.1885212
120,CA-2016-103730,2016.6.12,2016.6.15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0,18.3456,6.1152,47.04,3,39.7459468,-75.546589
126,US-2014-134614,2014.9.20,2014.9.25,Standard Class,PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682,-67.947,308.85,5,40.4731073,-88.9941403
127,US-2017-107272,2017.11.5,2017.11.12,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308,-0.9154,0.7164,7,33.611798,-112.1105181
134,CA-2016-145583,2016.10.13,2016.10.19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,20.04,3,0,9.6192,3.2064,20.04,6,38.73954122,-121.2555589
145,CA-2017-155376,2017.12.22,2017.12.27,Standard Class,SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,64055,Central,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0,218.2518,72.7506,839.43,5,39.0801041,-94.422034
146,CA-2015-110744,2015.9.7,2015.9.12,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104,West,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7,0,20.1579,2.8797,671.93,5,34.16544326,-118.1228638
147,CA-2014-110072,2014.10.22,2014.10.28,Standard Class,MG-17680,Maureen Gastineau,Home Office,United States,Newark,Ohio,43055,East,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,0.2,12.9096,3.2274,75.1104,6,40.0581205,-82.4012643
148,CA-2016-114489,2016.12.5,2016.12.9,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,TEC-PH-10000215,Technology,Phones,Plantronics Cordless_Phone Headset_with In-line Volume - M214C,384.45,11,0,103.8015,9.4365,384.45,4,42.888627,-88.0384195
152,CA-2016-158834,2016.3.13,2016.3.16,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,17.766,3.5532,126.336,3,33.5091215,-111.8992365
154,CA-2015-124919,2015.5.31,2015.6.2,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,0,26.271,3.753,58.38,2,37.24770627,-121.8300137
157,CA-2015-118948,2015.5.28,2015.6.3,Standard Class,NK-18490,Neil Knudson,Home Office,United States,Seattle,Washington,98105,West,OFF-AR-10001547,Office Supplies,Art,Newell 311,6.63,3,0,1.7901,0.5967,6.63,6,47.66462995,-122.299042
158,CA-2014-104269,2014.3.1,2014.3.6,Second Class,DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,98115,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764,25.7382,366.0544,5,47.68492836,-122.2990356
159,CA-2016-114104,2016.11.20,2016.11.24,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034,Central,OFF-LA-10002475,Office Supplies,Labels,Avery 519,14.62,2,0,6.8714,3.4357,14.62,4,35.6571367,-97.4649038
161,CA-2016-162733,2016.5.11,2016.5.12,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1,0,2.691,2.691,5.98,1,33.9451789,-118.3717387
162,CA-2015-119697,2015.12.28,2015.12.31,Second Class,EM-13960,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384,2,0.2,1.3596,0.6798,43.5072,3,39.9527237,-75.1635262
163,CA-2016-154508,2016.11.16,2016.11.20,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,88220,West,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,28.4,5,0,13.348,2.6696,28.4,4,32.4142958,-104.237297
165,CA-2014-139892,2014.9.8,2014.9.12,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,9.936,3,0.2,2.7324,0.9108,7.9488,4,29.4246002,-98.4951405
177,US-2017-152366,2017.4.21,2017.4.25,Second Class,SJ-20500,Shirley Jackson,Consumer,United States,Houston,Texas,77036,Central,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264,4,0.8,-243.16,-60.79,19.4528,4,29.7186086,-95.5389416
181,CA-2014-166191,2014.12.5,2014.12.9,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521,Central,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816,2,0.2,1.8612,0.9306,19.8528,4,39.8454163,-88.9524151
183,CA-2014-158274,2014.11.19,2014.11.24,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe,Louisiana,71203,South,TEC-PH-10003273,Technology,Phones,AT&T TR1909W,503.96,4,0,131.0296,32.7574,503.96,5,32.5093109,-92.1193012
186,CA-2016-105018,2016.11.28,2016.12.2,Standard Class,SK-19990,Sally Knutson,Consumer,United States,Fairfield,Connecticut,6824,East,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,7.16,2,0,3.4368,1.7184,7.16,4,41.1394041,-73.25615895
188,CA-2016-157000,2016.7.16,2016.7.22,Standard Class,AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,75051,Central,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.224,3,0.2,3.7224,1.2408,29.7792,6,32.6793769,-97.0605064
195,CA-2015-131457,2015.10.31,2015.11.6,Standard Class,MZ-17515,Mary Zewe,Corporate,United States,Redlands,California,92374,West,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,14.28,7,0,6.7116,0.9588,14.28,6,34.055735,-117.1888961
196,CA-2014-140004,2014.3.21,2014.3.25,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Hamilton,Ohio,45011,East,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,2,0.2,1.2038,0.6019,5.9264,4,39.3995067,-84.5613428
198,CA-2017-107720,2017.11.6,2017.11.13,Standard Class,VM-21685,Valerie Mitchum,Home Office,United States,Westfield,New Jersey,7090,East,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26,3,0,12.0276,4.0092,46.26,7,40.6589912,-74.3473717
199,US-2017-124303,2017.7.6,2017.7.13,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946,2,0.7,-2.2586,-1.1293,0.8838,7,39.9527237,-75.1635262
201,CA-2017-105074,2017.6.24,2017.6.29,Standard Class,MB-17305,Maria Bertelson,Consumer,United States,Akron,Ohio,44312,East,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744,3,0.2,6.795,2.265,17.3952,5,41.083064,-81.518485
202,CA-2014-133690,2014.8.3,2014.8.5,First Class,BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,80219,West,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,0.5,-161.875,-80.9375,109.375,2,39.6936116,-105.0288073
204,US-2017-116701,2017.12.17,2017.12.21,Second Class,LC-17140,Logan Currie,Consumer,United States,Dallas,Texas,75220,Central,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,66.284,2,0.8,-178.9668,-89.4834,13.2568,4,32.7762719,-96.7968559
205,CA-2017-126382,2017.6.3,2017.6.7,Standard Class,HK-14890,Heather Kirkland,Corporate,United States,Franklin,Tennessee,37064,South,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168,7,0.2,9.6712,1.3816,28.1344,4,35.925193,-86.8689365
206,CA-2017-108329,2017.12.9,2017.12.14,Standard Class,LE-16810,Laurel Elliston,Consumer,United States,Whittier,California,90604,West,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.768,4,0.2,44.4768,11.1192,355.8144,5,33.941652,-117.9853128
207,CA-2017-135860,2017.12.1,2017.12.7,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92,4,0,5.8744,1.4686,83.92,6,43.4200387,-83.9490365
213,CA-2015-146262,2015.1.2,2015.1.9,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,OFF-LA-10004544,Office Supplies,Labels,Avery 505,23.68,2,0.2,8.88,4.44,18.944,7,41.1383878,-81.8637474
220,CA-2015-169397,2015.12.24,2015.12.27,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017,East,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,5.584,2,0.2,1.8148,0.9074,4.4672,3,40.0992294,-83.1140771
226,CA-2015-163055,2015.8.9,2015.8.16,Standard Class,DS-13180,David Smith,Corporate,United States,Detroit,Michigan,48227,Central,OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",2.2,1,0,0.968,0.968,2.2,7,42.3315509,-83.0466403
229,US-2015-145436,2015.2.28,2015.3.4,Standard Class,VD-21670,Valerie Dominguez,Consumer,United States,Columbia,Tennessee,38401,South,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,161.568,2,0.2,-28.2744,-14.1372,129.2544,4,35.6150716,-87.0352831
232,US-2017-100930,2017.4.7,2017.4.12,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,33614,South,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,233.86,2,0.45,-102.048,-51.024,128.623,5,27.9477595,-82.458444
237,CA-2017-160514,2017.11.12,2017.11.16,Standard Class,DB-13120,David Bremer,Corporate,United States,Santa Clara,California,95051,West,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56,2,0,4.752,2.376,10.56,4,37.35337206,-121.9892189
245,CA-2014-131926,2014.6.1,2014.6.6,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,7,0,580.5394,82.9342,2001.86,5,44.6476983,-93.2423932
251,CA-2016-145625,2016.9.11,2016.9.17,Standard Class,KC-16540,Kelly Collister,Consumer,United States,San Diego,California,92037,West,OFF-PA-10004569,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",7.61,1,0,3.5767,3.5767,7.61,6,32.8708724,-117.2369266
262,US-2017-155299,2017.6.8,2017.6.12,Standard Class,Dl-13600,Dorris liebe,Corporate,United States,Pasadena,Texas,77506,Central,OFF-AP-10002203,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.624,2,0.8,-4.466,-2.233,0.3248,4,29.7155347,-95.2095962
